date,ticker,price
2024-01-01,AAPL,148.5603716867104
2024-01-02,AAPL,147.19685352649253
2024-01-03,AAPL,148.75575389220555
2024-01-04,AAPL,146.7182694883722
2024-01-05,AAPL,147.18371913692675
2024-01-06,AAPL,147.2030110155348
2024-01-07,AAPL,148.1830934975778
2024-01-08,AAPL,148.30502595395475
2024-01-09,AAPL,148.2416664031577
2024-01-10,AAPL,147.3871917495992
2024-01-11,AAPL,145.72177076734187
2024-01-12,AAPL,145.29556705673554
2024-01-13,AAPL,145.64691358303966
2024-01-14,AAPL,146.07116521984457
2024-01-15,AAPL,147.72200295455178
2024-01-16,AAPL,146.302274671224
2024-01-17,AAPL,145.9887634757332
2024-01-18,AAPL,145.925832741044
2024-01-19,AAPL,146.23843474290837
2024-01-20,AAPL,147.92350445209618
